,ID,제품,대분류,중분류,소분류,브랜드,price(mean)
21,21,B002-00005-00006,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,3400.0
22,22,B002-00005-00007,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00005,21000.0
23,23,B002-00005-00008,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,3890.588235294118
24,24,B002-00005-00009,B002-C001-0002,B002-C002-0007,B002-C003-0039,B002-00005,1600.0
25,25,B002-00005-00011,B002-C001-0002,B002-C002-0004,B002-C003-0019,B002-00005,23625.714285714286
26,26,B002-00005-00012,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00005,1100.0
27,27,B002-00005-00014,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00005,2970.0
28,28,B002-00006-00001,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00006,12967.42351046699
29,29,B002-00007-00001,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-00007,54900.0
30,30,B002-00008-00001,B002-C001-0001,B002-C002-0001,B002-C003-0001,B002-00008,12154.154519882366
31,31,B002-00009-00001,B002-C001-0001,B002-C002-0001,B002-C003-0004,B002-00009,15636.666666666666
32,32,B002-00010-00001,B002-C001-0002,B002-C002-0007,B002-C003-0036,B002-00010,6496.443890588102
33,33,B002-00011-00001,B002-C001-0001,B002-C002-0001,B002-C003-0005,B002-00011,24350.0
34,34,B002-00012-00001,B002-C001-0002,B002-C002-0007,B002-C003-0036,B002-00012,15900.0
35,35,B002-00013-00001,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-00013,1415.3720012863848
36,36,B002-00013-00002,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-00013,1584.7055555555553
37,37,B002-00015-00001,B002-C001-0001,B002-C002-0001,B002-C003-0005,B002-00015,49000.0
38,38,B002-00015-00002,B002-C001-0001,B002-C002-0001,B002-C003-0005,B002-00015,49875.0
39,39,B002-00016-00001,B002-C001-0002,B002-C002-0003,B002-C003-0012,B002-00016,3666.6666666666665
40,40,B002-00017-00001,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00017,12985.474903564214
41,41,B002-00018-00001,B002-C001-0001,B002-C002-0001,B002-C003-0004,B002-00018,19000.0
42,42,B002-00020-00001,B002-C001-0002,B002-C002-0002,B002-C003-0011,B002-00020,22260.874810890247
43,43,B002-00020-00002,B002-C001-0002,B002-C002-0002,B002-C003-0011,B002-00020,23745.575782208565
44,44,B002-00020-00003,B002-C001-0002,B002-C002-0002,B002-C003-0011,B002-00020,25900.0
45,45,B002-00021-00001,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00021,17575.0
46,46,B002-00022-00001,B002-C001-0002,B002-C002-0004,B002-C003-0019,B002-00022,7562.295081967213
47,47,B002-00024-00001,B002-C001-0002,B002-C002-0003,B002-C003-0016,B002-00024,10076.02944293923
48,48,B002-00024-00002,B002-C001-0002,B002-C002-0003,B002-C003-0016,B002-00024,15024.09090909091
49,49,B002-00025-00001,B002-C001-0002,B002-C002-0002,B002-C003-0009,B002-00025,7168.928571428572
50,50,B002-00025-00002,B002-C001-0002,B002-C002-0002,B002-C003-0009,B002-00025,17214.35451688287
51,51,B002-00025-00003,B002-C001-0002,B002-C002-0002,B002-C003-0009,B002-00025,9900.0
52,52,B002-00026-00001,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00026,16000.0
53,53,B002-00027-00001,B002-C001-0002,B002-C002-0002,B002-C003-0010,B002-00027,2000.0
54,54,B002-00027-00002,B002-C001-0002,B002-C002-0002,B002-C003-0010,B002-00027,1473.8587424633936
55,55,B002-00027-00003,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-00027,1000.0
56,56,B002-00027-00008,B002-C001-0002,B002-C002-0002,B002-C003-0010,B002-00027,2000.0
57,57,B002-00028-00001,B002-C001-0002,B002-C002-0003,B002-C003-0016,B002-00028,5744.540229885058
58,58,B002-00029-00001,B002-C001-0005,B002-C002-0011,B002-C003-0052,B002-00029,1500.0
59,59,B002-00029-00003,B002-C001-0005,B002-C002-0011,B002-C003-0053,B002-00029,3900.0
60,60,B002-00029-00007,B002-C001-0005,B002-C002-0011,B002-C003-0053,B002-00029,4400.0
61,61,B002-00029-00009,B002-C001-0005,B002-C002-0011,B002-C003-0053,B002-00029,2200.0
62,62,B002-00029-00016,B002-C001-0005,B002-C002-0011,B002-C003-0053,B002-00029,4400.0
63,63,B002-00030-00001,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00030,36500.0
64,64,B002-00030-00002,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00030,36800.0
65,65,B002-00031-00001,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00031,2987.256235827665
66,66,B002-00031-00002,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00031,5726.143865864205
67,67,B002-00031-00003,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00031,5459.758454106281
68,68,B002-00031-00004,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00031,4204.893105936209
69,69,B002-00031-00005,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00031,4148.48623853211
70,70,B002-00031-00006,B002-C001-0002,B002-C002-0002,B002-C003-0007,B002-00031,3767.537764866712
71,71,B002-00031-00007,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00031,5412.034013605441
72,72,B002-00031-00008,B002-C001-0002,B002-C002-0002,B002-C003-0007,B002-00031,2123.3333333333335
73,73,B002-00031-00009,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00031,4490.0
74,74,B002-00031-00010,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00031,6922.5
75,75,B002-00035-00001,B002-C001-0001,B002-C002-0001,B002-C003-0001,B002-00035,39900.0
76,76,B002-00036-00001,B002-C001-0002,B002-C002-0005,B002-C003-0029,B002-00036,772.0161782661784
77,77,B002-00037-00001,B002-C001-0001,B002-C002-0001,B002-C003-0001,B002-00037,9900.0
78,78,B002-00038-00001,B002-C001-0002,B002-C002-0007,B002-C003-0036,B002-00038,2800.0
79,79,B002-00038-00002,B002-C001-0002,B002-C002-0007,B002-C003-0036,B002-00038,2370.0
80,80,B002-00038-00003,B002-C001-0002,B002-C002-0007,B002-C003-0036,B002-00038,2800.0
81,81,B002-00039-00001,B002-C001-0002,B002-C002-0009,B002-C003-0045,B002-00039,4980.0
82,82,B002-00040-00001,B002-C001-0002,B002-C002-0003,B002-C003-0015,B002-00040,2490.0
83,83,B002-00042-00001,B002-C001-0003,B002-C002-0008,B002-C003-0044,B002-00042,3241.509433962264
84,84,B002-00043-00001,B002-C001-0001,B002-C002-0001,B002-C003-0001,B002-00043,22400.0
85,85,B002-00043-00002,B002-C001-0001,B002-C002-0001,B002-C003-0001,B002-00043,22782.35294117647
86,86,B002-00043-00004,B002-C001-0001,B002-C002-0001,B002-C003-0002,B002-00043,15295.061728395061
87,87,B002-00043-00007,B002-C001-0001,B002-C002-0001,B002-C003-0002,B002-00043,4483.333333333333
88,88,B002-00043-00008,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00043,32900.0
89,89,B002-00043-00009,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00043,22900.0
90,90,B002-00043-00011,B002-C001-0001,B002-C002-0001,B002-C003-0001,B002-00043,17900.0
91,91,B002-00043-00012,B002-C001-0001,B002-C002-0001,B002-C003-0002,B002-00043,29900.0
92,92,B002-00043-00016,B002-C001-0001,B002-C002-0001,B002-C003-0005,B002-00043,29800.0
93,93,B002-00044-00001,B002-C001-0002,B002-C002-0007,B002-C003-0036,B002-00044,4375.0
94,94,B002-00045-00001,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-00045,1890.0
95,95,B002-00046-00001,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-00046,18961.39534883721
96,96,B002-00048-00001,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00048,0.0
97,97,B002-00049-00001,B002-C001-0002,B002-C002-0002,B002-C003-0009,B002-00049,1939.3867924528302
98,98,B002-00051-00001,B002-C001-0001,B002-C002-0001,B002-C003-0001,B002-00051,1780.0
99,99,B002-00051-00002,B002-C001-0001,B002-C002-0001,B002-C003-0001,B002-00051,10620.575792069816
100,100,B002-00052-00001,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00052,61294.11764705883
101,101,B002-00053-00001,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00053,11597.363910829457
102,102,B002-00053-00002,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-00053,7242.869019748566
103,103,B002-00054-00001,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00054,3399.53488372093
104,104,B002-00054-00002,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00054,3500.0
105,105,B002-00055-00001,B002-C001-0002,B002-C002-0003,B002-C003-0015,B002-00055,2489.795179567907
106,106,B002-00055-00002,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00055,4901.321931435567
107,107,B002-00056-00001,B002-C001-0002,B002-C002-0002,B002-C003-0008,B002-00056,14588.888888888889
108,108,B002-00056-00002,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00056,3600.0
109,109,B002-00056-00003,B002-C001-0002,B002-C002-0002,B002-C003-0006,B002-00056,4524.806201550387
110,110,B002-00059-00001,B002-C001-0001,B002-C002-0001,B002-C003-0001,B002-00059,13404.840604012468
111,111,B002-00059-00002,B002-C001-0001,B002-C002-0001,B002-C003-0001,B002-00059,9051.587301587304
112,112,B002-00060-00001,B002-C001-0002,B002-C002-0003,B002-C003-0015,B002-00060,7933.924463118582
113,113,B002-00060-00002,B002-C001-0002,B002-C002-0003,B002-C003-0015,B002-00060,15759.10994228382
114,114,B002-00060-00002,B002-C001-0002,B002-C002-0003,B002-C003-0018,B002-00060,0.0
115,115,B002-00060-00003,B002-C001-0002,B002-C002-0003,B002-C003-0015,B002-00060,12432.688717675193
116,116,B002-00060-00004,B002-C001-0002,B002-C002-0003,B002-C003-0018,B002-00060,8563.795591701813
117,117,B002-00060-00005,B002-C001-0002,B002-C002-0003,B002-C003-0018,B002-00060,11674.750191856043
118,118,B002-00060-00006,B002-C001-0002,B002-C002-0003,B002-C003-0018,B002-00060,13453.370091592598
119,119,B002-00060-00007,B002-C001-0002,B002-C002-0003,B002-C003-0018,B002-00060,16018.935929027897
120,120,B002-00060-00008,B002-C001-0002,B002-C002-0003,B002-C003-0018,B002-00060,34201.912531242124
121,121,B002-00060-00009,B002-C001-0002,B002-C002-0003,B002-C003-0018,B002-00060,6853.7595024924585
122,122,B002-00060-00010,B002-C001-0002,B002-C002-0003,B002-C003-0018,B002-00060,9785.620653817083
123,123,B002-00060-00011,B002-C001-0002,B002-C002-0003,B002-C003-0018,B002-00060,11710.549727154566
124,124,B002-00060-00012,B002-C001-0002,B002-C002-0003,B002-C003-0018,B002-00060,5104.3572314190615
125,125,B002-00060-00013,B002-C001-0002,B002-C002-0003,B002-C003-0018,B002-00060,5881.25
126,126,B002-00060-00014,B002-C001-0002,B002-C002-0003,B002-C003-0018,B002-00060,7308.571428571428
127,127,B002-00060-00015,B002-C001-0002,B002-C002-0002,B002-C003-0011,B002-00060,9101.138211382113
128,128,B002-00060-00016,B002-C001-0002,B002-C002-0003,B002-C003-0018,B002-00060,11375.0
129,129,B002-00060-00018,B002-C001-0002,B002-C002-0003,B002-C003-0018,B002-00060,8267.012195121952
130,130,B002-00061-00001,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00061,39000.0
131,131,B002-00062-00001,B002-C001-0002,B002-C002-0002,B002-C003-0009,B002-00062,13152.215909090908
132,132,B002-00062-00002,B002-C001-0002,B002-C002-0002,B002-C003-0009,B002-00062,12633.802816901409
133,133,B002-00063-00001,B002-C001-0002,B002-C002-0007,B002-C003-0036,B002-00063,18514.894961897513
134,134,B002-00063-00002,B002-C001-0002,B002-C002-0007,B002-C003-0036,B002-00063,17975.0
135,135,B002-00064-00001,B002-C001-0001,B002-C002-0001,B002-C003-0005,B002-00064,85324.21875
136,136,B002-00064-00002,B002-C001-0001,B002-C002-0001,B002-C003-0005,B002-00064,73500.0
137,137,B002-00065-00001,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-00065,12169.23076923077
138,138,B002-00066-00001,B002-C001-0001,B002-C002-0001,B002-C003-0002,B002-00066,19800.0
139,139,B002-00066-00002,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00066,23500.0
140,140,B002-00066-00003,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00066,34857.09483608489
141,141,B002-00066-00004,B002-C001-0001,B002-C002-0001,B002-C003-0004,B002-00066,24241.212649635858
142,142,B002-00066-00005,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00066,0.0
143,143,B002-00066-00006,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00066,0.0
144,144,B002-00067-00001,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,22352.64207704018
145,145,B002-00067-00002,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,28866.29912302826
146,146,B002-00067-00003,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,26823.41646482528
147,147,B002-00067-00004,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,2486.141526229235
148,148,B002-00067-00005,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,5842.251357773687
149,149,B002-00067-00006,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,20785.111202248045
150,150,B002-00067-00008,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-00067,23103.784704675843
151,151,B002-00067-00009,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-00067,14790.605859991814
152,152,B002-00067-00010,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-00067,36730.68861087601
153,153,B002-00067-00011,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-00067,24935.06146304676
154,154,B002-00067-00012,B002-C001-0002,B002-C002-0007,B002-C003-0037,B002-00067,39023.80952380953
155,155,B002-00067-00013,B002-C001-0002,B002-C002-0007,B002-C003-0037,B002-00067,15673.912138475023
156,156,B002-00067-00014,B002-C001-0002,B002-C002-0009,B002-C003-0045,B002-00067,22063.717071682004
157,157,B002-00067-00015,B002-C001-0002,B002-C002-0009,B002-C003-0045,B002-00067,17428.0
158,158,B002-00067-00016,B002-C001-0002,B002-C002-0009,B002-C003-0046,B002-00067,10664.438470728792
159,159,B002-00067-00017,B002-C001-0002,B002-C002-0009,B002-C003-0046,B002-00067,19213.77958415738
160,160,B002-00067-00018,B002-C001-0002,B002-C002-0009,B002-C003-0046,B002-00067,11776.726347848145
161,161,B002-00067-00019,B002-C001-0002,B002-C002-0009,B002-C003-0046,B002-00067,19385.523577499738
162,162,B002-00067-00020,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,18620.185185185186
163,163,B002-00067-00021,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,22096.222222222223
164,164,B002-00067-00022,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,6833.35928876152
165,165,B002-00067-00023,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,28813.99981921291
166,166,B002-00067-00024,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,6559.207636670177
167,167,B002-00067-00025,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,9000.0
168,168,B002-00067-00026,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,24158.234463276836
169,169,B002-00067-00027,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,33628.76503744035
170,170,B002-00067-00028,B002-C001-0002,B002-C002-0007,B002-C003-0040,B002-00067,24918.30555555556
171,171,B002-00067-00029,B002-C001-0002,B002-C002-0009,B002-C003-0046,B002-00067,9517.661290322581
172,172,B002-00067-00030,B002-C001-0002,B002-C002-0009,B002-C003-0046,B002-00067,9344.270833333334
173,173,B002-00067-00031,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,9830.140056022408
174,174,B002-00067-00032,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,8390.0
175,175,B002-00067-00033,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-00067,12014.927248677248
176,176,B002-00067-00034,B002-C001-0002,B002-C002-0007,B002-C003-0038,B002-00067,12816.448087431692
177,177,B002-00067-00035,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,17500.0
178,178,B002-00067-00036,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,8320.3125
179,179,B002-00067-00037,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-00067,21899.1158493248
180,180,B002-00067-00038,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-00067,22574.51105647203
181,181,B002-00067-00039,B002-C001-0002,B002-C002-0007,B002-C003-0037,B002-00067,8800.0
182,182,B002-00067-00040,B002-C001-0002,B002-C002-0009,B002-C003-0046,B002-00067,13284.545454545454
183,183,B002-00067-00041,B002-C001-0002,B002-C002-0009,B002-C003-0046,B002-00067,14900.0
184,184,B002-00067-00042,B002-C001-0002,B002-C002-0009,B002-C003-0046,B002-00067,29604.473684210523
185,185,B002-00067-00043,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,17800.983606557376
186,186,B002-00067-00044,B002-C001-0002,B002-C002-0009,B002-C003-0046,B002-00067,18341.93548387097
187,187,B002-00067-00045,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,14767.357723577235
188,188,B002-00067-00046,B002-C001-0002,B002-C002-0007,B002-C003-0037,B002-00067,15693.555555555557
189,189,B002-00067-00047,B002-C001-0002,B002-C002-0007,B002-C003-0037,B002-00067,17218.260869565216
190,190,B002-00067-00048,B002-C001-0002,B002-C002-0009,B002-C003-0045,B002-00067,27646.739130434784
191,191,B002-00067-00049,B002-C001-0002,B002-C002-0007,B002-C003-0037,B002-00067,16409.285714285714
192,192,B002-00067-00050,B002-C001-0002,B002-C002-0009,B002-C003-0045,B002-00067,27599.6875
193,193,B002-00067-00051,B002-C001-0002,B002-C002-0007,B002-C003-0037,B002-00067,21542.857142857145
194,194,B002-00067-00052,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,14094.628036322234
195,195,B002-00067-00053,B002-C001-0004,B002-C002-0009,B002-C003-0047,B002-00067,30594.75
196,196,B002-00067-00054,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,3250.0
197,197,B002-00067-00055,B002-C001-0002,B002-C002-0009,B002-C003-0046,B002-00067,15006.296296296296
198,198,B002-00067-00056,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,17092.594418449196
199,199,B002-00067-00058,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,23262.64136904762
200,200,B002-00067-00059,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,12000.0
201,201,B002-00067-00060,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00067,0.0
202,202,B002-00067-00062,B002-C001-0004,B002-C002-0009,B002-C003-0047,B002-00067,41000.0
203,203,B002-00067-00063,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-00067,10500.0
204,204,B002-00067-00066,B002-C001-0002,B002-C002-0009,B002-C003-0046,B002-00067,15400.0
205,205,B002-00068-00001,B002-C001-0002,B002-C002-0003,B002-C003-0014,B002-00068,9971.122146153602
206,206,B002-00069-00001,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-00069,2149.5238095238096
207,207,B002-00070-00001,B002-C001-0001,B002-C002-0001,B002-C003-0001,B002-00070,15134.054005366172
208,208,B002-00070-00002,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00070,19589.951988021417
209,209,B002-00070-00003,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00070,16893.561858530273
210,210,B002-00070-00004,B002-C001-0001,B002-C002-0001,B002-C003-0004,B002-00070,61135.0
211,211,B002-00070-00005,B002-C001-0001,B002-C002-0001,B002-C003-0003,B002-00070,18000.0
212,212,B002-00070-00006,B002-C001-0001,B002-C002-0001,B002-C003-0004,B002-00070,48425.04539212554
213,213,B002-00070-00007,B002-C001-0001,B002-C002-0001,B002-C003-0004,B002-00070,64728.25059101654
214,214,B002-00070-00008,B002-C001-0001,B002-C002-0001,B002-C003-0004,B002-00070,30826.95526695527
215,215,B002-00070-00009,B002-C001-0001,B002-C002-0001,B002-C003-0001,B002-00070,27900.0
216,216,B002-00070-00009,B002-C001-0001,B002-C002-0001,B002-C003-0004,B002-00070,27900.0
217,217,B002-00070-00010,B002-C001-0001,B002-C002-0001,B002-C003-0004,B002-00070,51395.28795811519
218,218,B002-00070-00011,B002-C001-0001,B002-C002-0001,B002-C003-0004,B002-00070,26000.0
219,219,B002-00070-00012,B002-C001-0001,B002-C002-0001,B002-C003-0004,B002-00070,21360.416666666668
220,220,B002-00071-00001,B002-C001-0002,B002-C002-0002,B002-C003-0009,B002-00071,2127.6844783715014
221,221,B002-00071-00002,B002-C001-0002,B002-C002-0003,B002-C003-0016,B002-00071,4023.9852398523985
222,222,B002-00071-00003,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-00071,9897.127035382968
223,223,B002-00071-00004,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-00071,9499.613121988297
224,224,B002-00071-00005,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-00071,9614.330823612061
225,225,B002-00071-00006,B002-C001-0002,B002-C002-0003,B002-C003-0016,B002-00071,6666.36984445315
226,226,B002-00071-00007,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-00071,9900.0
227,227,B002-00071-00008,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00071,14403.12
228,228,B002-00071-00009,B002-C001-0002,B002-C002-0007,B002-C003-0040,B002-00071,14339.47547175637
229,229,B002-00071-00010,B002-C001-0002,B002-C002-0003,B002-C003-0016,B002-00071,4955.377388647133
230,230,B002-00071-00011,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-00071,17019.42857142857
231,231,B002-00071-00012,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00071,6128.055555555555
232,232,B002-00071-00013,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-00071,18442.153334286217
233,233,B002-00071-00014,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-00071,26400.0
234,234,B002-00072-00001,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00072,2954.0502793296087
235,235,B002-00072-00002,B002-C001-0002,B002-C002-0002,B002-C003-0011,B002-00072,14576.470588235294
236,236,B002-00072-00003,B002-C001-0002,B002-C002-0003,B002-C003-0014,B002-00072,14743.137254901965
237,237,B002-00072-00004,B002-C001-0002,B002-C002-0002,B002-C003-0009,B002-00072,7586.450291161828
238,238,B002-00072-00005,B002-C001-0002,B002-C002-0006,B002-C003-0032,B002-00072,4276.068376068377
239,239,B002-00072-00006,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00072,4966.666666666667
240,240,B002-00072-00007,B002-C001-0002,B002-C002-0004,B002-C003-0023,B002-00072,0.0
241,241,B002-00072-00008,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-00072,7300.0
242,242,B002-00073-00001,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00073,19222.519841269837
243,243,B002-00074-00001,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-00074,6600.0
244,244,B002-00075-00001,B002-C001-0002,B002-C002-0007,B002-C003-0035,B002-00075,9787.231800766283
245,245,B002-00076-00001,B002-C001-0002,B002-C002-0006,B002-C003-0034,B002-00076,6471.428571428572
246,246,B002-00079-00001,B002-C001-0002,B002-C002-0003,B002-C003-0015,B002-00079,10918.579796135706
247,247,B002-00080-00001,B002-C001-0002,B002-C002-0004,B002-C003-0021,B002-00080,2985.26695771387
248,248,B002-00080-00002,B002-C001-0002,B002-C002-0004,B002-C003-0021,B002-00080,1972.1682675861716
249,249,B002-00080-00003,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-00080,1513.7491961414792
250,250,B002-00080-00004,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-00080,1356.929431490974
251,251,B002-00080-00005,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-00080,1172.8043052787837
252,252,B002-00080-00006,B002-C001-0002,B002-C002-0004,B002-C003-0023,B002-00080,1397.97342192691
253,253,B002-00080-00007,B002-C001-0002,B002-C002-0004,B002-C003-0023,B002-00080,1486.095457807642
254,254,B002-00080-00008,B002-C001-0002,B002-C002-0004,B002-C003-0023,B002-00080,1597.973030511604
255,255,B002-00080-00009,B002-C001-0002,B002-C002-0004,B002-C003-0023,B002-00080,1312.7009426229015
256,256,B002-00080-00010,B002-C001-0002,B002-C002-0004,B002-C003-0023,B002-00080,1369.3269675221702
257,257,B002-00080-00011,B002-C001-0002,B002-C002-0004,B002-C003-0023,B002-00080,1487.8978224455611
258,258,B002-00080-00012,B002-C001-0002,B002-C002-0004,B002-C003-0020,B002-00080,17314.819994262765
259,259,B002-00080-00013,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-00080,1407.9986613119142
260,260,B002-00080-00014,B002-C001-0002,B002-C002-0004,B002-C003-0023,B002-00080,1295.3011042629687
261,261,B002-00080-00015,B002-C001-0002,B002-C002-0004,B002-C003-0022,B002-00080,1838.0
